"trait1"	"trait2"	"Mcor"	"Rcor"	"ratio"	"P"	"P_adjust"	"Z_var"
"1"	"A7-1_A"	"A7-1_A1B"	0.570107397467602	0.809085624704993	1.41918106710933	0.278	0.539908094163173	0.163003207268357
"2"	"A7-1_A"	"A7-1_C"	0.706922213048193	0.684278376572074	0.96796841850749	0.81	0.910498810134851	0.171681536474665
"3"	"A7-1_A"	"A7-2_A1B"	0.352056079153216	0.295370875268007	0.838988140691815	0.846	0.929878176757768	0.175808111579808
"4"	"A7-1_A"	"A7-2_C"	0.569590373869184	-0.201623840858425	-0.35398042191059	0.046	0.22193871419988	0.182020347689993
"5"	"A7-1_A"	"A8-1_A"	0.484472841620669	0.223147429232295	0.460598427944521	0.41	0.657276901577161	0.179771507747073
"6"	"A7-1_A"	"A8-1_A1B"	0.388243911966759	0.0304409271566955	0.0784067083048086	0.316	0.575435785017764	0.168571293387903
"7"	"A7-1_A"	"A8-1_C"	0.422033501337126	0.33328832429292	0.789720065437849	0.73	0.867401598105948	0.172102130288507
"8"	"A7-1_A"	"A8-2_A1B"	0.202097288478175	0.0812223741668078	0.401897396934048	0.7	0.851322697899838	0.177156185236081
"9"	"A7-1_A"	"A8-2_C"	0.300865404067453	-0.121014550212934	-0.402221553481779	0.27	0.532571849668386	0.186554466992966
"10"	"A7-1_A"	"A9_A1B"	0.132466539312751	-0.172900680487851	-1.30524041304978	0.48	0.712019704433498	0.181242336310304
"11"	"A7-1_A"	"A9_C"	0.139381091035544	-0.483162915292101	-3.46648825678147	0.104	0.332849740932642	0.180609489801029
"12"	"A7-1_A"	"A101_A"	0.862462777971461	0.974412071504805	1.12980188408438	0.05	0.231545559400231	0.182771735574879
"13"	"A7-1_A"	"A101_A1B"	0.492168586564672	0.637932820925485	1.29616728564138	0.674	0.837113837904723	0.172818990217773
"14"	"A7-1_A"	"A101_C"	0.617089161354235	0.406119149358296	0.658120697610448	0.436	0.676580778149961	0.18246051909249
"15"	"A7-1_A"	"A102_A1B"	-0.261192611849152	0.278734627423384	-1.06716122424	0.17	0.424427401803296	0.167778327639643
"16"	"A7-1_A"	"A102_C"	-0.172282176142019	-0.286315643328899	1.66189938936502	0.8	0.905851938895417	0.168898307845537
"17"	"A7-1_A"	"A103_A1B"	0.313410412024923	0.722132106487844	2.30411013412796	0.166	0.419307958477509	0.178880998620569
"18"	"A7-1_A"	"A103_C"	0.0406177915084862	0.587380119312569	14.4611535363721	0.148	0.397294406061957	0.182299564291829
"19"	"A7-1_A"	"A104_A1B"	-0.111821735406695	-0.0088040380073077	0.0787327971193387	0.78	0.895581716791383	0.173745198335696
"20"	"A7-1_A"	"A104_C"	-0.261301984976177	0.293905372274491	-1.12477282674024	0.15	0.400033211557622	0.172189548037236
"21"	"A7-1_A"	"A120_A"	0.0926390110418925	-0.591793367312	-6.388165856438	0.048	0.226330005871991	0.169215002507014
"22"	"A7-1_A"	"A120_A1B"	0.0523466476291314	-0.17369746847931	-3.31821570905422	0.55	0.759893324156917	0.168342240666574
"23"	"A7-1_A"	"A120_C"	0.0476922466032271	-0.123590239978772	-2.59141157695871	0.644	0.819154126405829	0.168389324329203
"24"	"A7-1_A"	"A121_A"	0.0726468282871544	-0.621861253825023	-8.56006061774596	0.048	0.226330005871991	0.16877243349878
"25"	"A7-1_A"	"A121_A1B"	0.0559737853788493	-0.256430833774594	-4.58126660612613	0.41	0.657276901577161	0.170189001434861
"26"	"A7-1_A"	"A121_C"	0.0534059117152836	-0.0449974468741362	-0.842555541679086	0.798	0.905161502966381	0.170832240126455
"27"	"A7-1_A"	"A122_A"	-0.0281709335889158	-0.356206769418947	12.6444786891657	0.39	0.639035505373419	0.170766589709561
"28"	"A7-1_A"	"A122_A1B"	-0.0127583766756533	-0.558750305825081	43.7947804826408	0.152	0.402205623901582	0.168915779511702
"29"	"A7-1_A"	"A122_C"	-0.022760861763378	-0.49036539327083	21.5442366975675	0.216	0.477993753444792	0.171264386968625
"30"	"A7-1_A"	"A123_A"	-0.219727590602082	-0.822473290348978	3.74314981607587	0.026	0.166182011143539	0.170328455773518
"31"	"A7-1_A"	"A123_A1B"	-0.0861711454051222	-0.446550631823313	5.18213643005341	0.322	0.580525370453525	0.168730646972136
"32"	"A7-1_A"	"A123_C"	-0.124980753935448	-0.184712680265934	1.47792899666246	0.918	0.963054478944389	0.167366061809113
"33"	"A7-1_A"	"C11-1_A"	0.307777708606361	-0.390149302966103	-1.26763339922416	0.08	0.291337868480726	0.176883456168561
"34"	"A7-1_A"	"C11-1_A1B"	0.341217631203543	-0.381794325775037	-1.11891734441849	0.084	0.298548244319858	0.178440012923322
"35"	"A7-1_A"	"C11-1_C"	0.366663692792771	-0.363431009251752	-0.99118351883603	0.088	0.306435385949696	0.175433218362109
"36"	"A7-1_A"	"C11-2_A1B"	0.280046620639027	0.0023869241208998	0.00852330985267087	0.468	0.70195629163813	0.176049433957402
"37"	"A7-1_A"	"C11-2_C"	0.250214236697134	-0.602241783706537	-2.4069045457054	0.036	0.197593984962406	0.174135890352687
"38"	"A7-1_A"	"C12-1_A"	0.290113124926798	-0.402141792858457	-1.38615511780077	0.086	0.302797427652733	0.177639422702656
"39"	"A7-1_A"	"C12-1_A1B"	0.330438519554343	-0.383316034962427	-1.16002225006758	0.084	0.298548244319858	0.18046620705436
"40"	"A7-1_A"	"C12-1_C"	0.361104783885372	-0.357609112552911	-0.990319509769854	0.092	0.312064207265559	0.176117705652924
"41"	"A7-1_A"	"C12-2_A1B"	0.27271309800033	0.285684938127234	1.04756588598795	0.988	0.994481260184682	0.17418615714714
"42"	"A7-1_A"	"C12-2_C"	0.235505490938419	-0.61698906009375	-2.61984999855092	0.026	0.166182011143539	0.173085124630682
"43"	"A7-1_A"	"C13_A"	-0.0673870167202947	0.321646971251732	-4.77312970518938	0.32	0.579043040636971	0.178843267932778
"44"	"A7-1_A"	"C13_A1B"	0.00951661106229941	0.296234806469908	31.128182556862	0.446	0.684427315581603	0.176077929513121
"45"	"A7-1_A"	"C13_C"	0.00748362852401456	0.299809629566488	40.0620672985591	0.484	0.714871857755978	0.178428069419622
"46"	"A7-1_A"	"C101_A1B"	0.347320500686773	-0.36657625773659	-1.05544088820482	0.086	0.302797427652733	0.175745123734571
"47"	"A7-1_A"	"C101_C"	0.329155039335905	-0.526316344452522	-1.5989922120421	0.038	0.202661058224485	0.177263615467317
"48"	"A7-1_A"	"C102_A1B"	0.337205929782151	-0.259785984773295	-0.770407522018154	0.16	0.411575013347571	0.17574025570319
"49"	"A7-1_A"	"C102_C"	0.31348993379641	-0.563086516789212	-1.79618691410646	0.028	0.173042585941508	0.177002548407543
"50"	"A7-1_A"	"C103_A"	0.290176321248368	-0.392289629277274	-1.35190089801126	0.102	0.329248291571754	0.179575361195303
"51"	"A7-1_A"	"C103_A1B"	0.318826887923582	-0.311009624155023	-0.975481165282292	0.134	0.378258729786735	0.181458527726904
"52"	"A7-1_A"	"C103_C"	0.335508390954568	-0.316942469792161	-0.944663317928997	0.12	0.357506801879792	0.176848695535917
"53"	"A7-1_A"	"C104_A"	0.249289870803529	-0.320172436368325	-1.28433792891914	0.154	0.404520771998692	0.177843821539155
"54"	"A7-1_A"	"C104_A1B"	0.288688339672919	-0.37135139847156	-1.28634013722999	0.102	0.329248291571754	0.18395047751794
"55"	"A7-1_A"	"C104_C"	0.316811842912104	-0.34440651012479	-1.08710112273278	0.098	0.322560459079109	0.177797620372869
"56"	"A7-1_A"	"C105_A1B"	-0.147858064987982	-0.412128277208066	2.78732362175553	0.434	0.675173393606716	0.158346611715669
"57"	"A7-1_A"	"C105_C"	-0.104022917067743	-0.505411128083441	4.85865175030903	0.242	0.503870354364736	0.16142887580848
"58"	"A7-1_A"	"C106_A1B"	-0.170154826350106	-0.399065208059735	2.34530642838558	0.508	0.732271421732887	0.158026596501137
"59"	"A7-1_A"	"C106_C"	-0.133710010173551	-0.532487715945943	3.9824072652062	0.252	0.514508009153318	0.160275053776955
"60"	"A7-1_A"	"C107_A1B"	0.262974900037978	0.222552320674854	0.84628730971174	0.88	0.945548617305977	0.172513436969295
"61"	"A7-1_A"	"C107_C"	0.251408459053516	-0.623693756917698	-2.48079861459608	0.022	0.153661930994491	0.177710727286272
"62"	"A7-1_A"	"C108_A1B"	0.274914329694877	-0.264685302303962	-0.962791945395249	0.192	0.451467057101025	0.178631843195849
"63"	"A7-1_A"	"C108_C"	0.175576691712936	-0.560672170716475	-3.19331777610414	0.062	0.257469401827271	0.17543124579351
"64"	"A7-1_A"	"C109_A1B"	0.253078427922071	-0.307698929509786	-1.21582440682987	0.166	0.419307958477509	0.173940349690125
"65"	"A7-1_A"	"C109_C"	0.178642450433685	-0.235527567408646	-1.31843000830353	0.316	0.575435785017764	0.173224339073756
"66"	"A7-1_A"	"C110_A1B"	0.05731398730824	-0.462453577046676	-8.06877341406308	0.192	0.451467057101025	0.174213930334304
"67"	"A7-1_A"	"C110_C"	0.0610780342491929	-0.595294995330896	-9.74646618295125	0.078	0.288104875804968	0.165661419699804
"68"	"A7-1_A"	"C111_A1B"	0.296555762446189	0.309654494200316	1.04416954048062	0.98	0.99148292805846	0.157523050275315
"69"	"A7-1_A"	"C111_C"	0.240753341994687	0.115988725232075	0.481774102370027	0.714	0.858382074059287	0.159971143107954
"70"	"A7-1_A"	"C112_A1B"	0.33488592739418	-0.306976998164151	-0.916661385424003	0.12	0.357506801879792	0.1745556865554
"71"	"A7-1_A"	"C112_C"	0.353376910087994	-0.26271976973679	-0.74345482751369	0.138	0.383882217090069	0.175186278001417
"72"	"A7-1_A"	"C113_A1B"	0.286904637792914	-0.364061822485838	-1.26892972273462	0.102	0.329248291571754	0.170825429511102
"73"	"A7-1_A"	"C113_C"	0.122295367775925	-0.490883411427051	-4.01391663768057	0.118	0.354397207330757	0.182306592082065
"74"	"A7-1_A"	"C114_A1B"	0.151456815350502	-0.177523924035789	-1.17210918257434	0.436	0.676580778149961	0.173839524289324
"75"	"A7-1_A"	"C114_C"	0.179494924630947	-0.411163965153019	-2.29067181703548	0.172	0.427250979583419	0.179622342016847
"76"	"A7-1_A"	"C115_A"	0.132425684546844	-0.166903292881239	-1.26035439010473	0.472	0.705189779211114	0.17755447385756
"77"	"A7-1_A"	"C115_A1B"	0.117208645429143	0.150676059115303	1.28553707419468	0.95	0.978849443969204	0.17165943090799
"78"	"A7-1_A"	"C115_C"	0.102895402913194	0.0829951472548522	0.806597232773069	0.954	0.980705812067936	0.172089866232787
"79"	"A7-1_A"	"C116_A1B"	0.0709815394714079	-0.512279183136039	-7.21707625603684	0.134	0.378258729786735	0.172611725944664
"80"	"A7-1_A"	"C116_C"	0.156805540948953	-0.523282977702788	-3.33714596139903	0.086	0.302797427652733	0.172189094943662
"81"	"A7-1_A"	"C117_A1B"	0.0665271347141125	0.409721003042976	6.1587050878363	0.366	0.619167134831461	0.182137974613038
"82"	"A7-1_A"	"C117_C"	-0.157563691880524	-0.564841257613981	3.58484401369755	0.278	0.539908094163173	0.166905303759759
"83"	"A7-1_A"	"C118_A1B"	0.0737039649957405	0.357086507508016	4.84487513702489	0.454	0.690807225871652	0.182874133238373
"84"	"A7-1_A"	"C118_C"	-0.156732835717758	-0.56704799699612	3.6179272479779	0.264	0.526688198757764	0.165196079112573
"85"	"A7-1_A"	"C126_A"	-0.0900666703873605	-0.335113981183605	3.72073242790413	0.538	0.75228813559322	0.171614391073808
"86"	"A7-1_A"	"C126_A1B"	-0.0193623689451707	-0.0049826857092377	0.257338640914621	0.998	0.998580328958299	0.175419394837459
"87"	"A7-1_A"	"C126_C"	0.00078684013156859	-0.452343950359021	-574.886730112836	0.238	0.499687990238801	0.171700000931764
"88"	"A7-1_A"	"C127_A"	0.0700792077522012	0.280304658488521	3.99982630339762	0.586	0.783262497919325	0.180361214032204
"89"	"A7-1_A"	"C127_A1B"	0.106634694213615	0.467199616918778	4.38130967002977	0.356	0.609916791124387	0.175589634605331
"90"	"A7-1_A"	"C127_C"	0.100828677866103	0.107970020089546	1.07082649871623	0.964	0.985058748674443	0.173267875694357
"91"	"A7-1_A"	"C128_A1B"	0.341067521313645	-0.26843402288154	-0.787040706331836	0.144	0.392017177082156	0.176449939290819
"92"	"A7-1_A"	"C128_C"	0.357341912689458	-0.179965828277841	-0.503623621767082	0.18	0.437469733656174	0.175272601364409
