Isolate_name	Standardized_name
EXF-5295	BFC
CBS4458	AGL
YJM434	ABE
YJM453	SACE_YAM
DBVPG1554	BKI
DBVPG1794	ABR
DBVPG1788	ABQ
DBVPG1790	BNV
DBVPG1795	BPB
DBVPG1960	BPT
DBVPG4162	BQM
EXF-6761	BFK
DBVPG4410	BQS
DBVPG2166	BQE
MC5	AIN
DBVPG4381	BQR
DBVPG1984	BLT
CBS457	AIF
CBS1190	AQR
DBVPG1832	BPF
DBVPG1973	BLR
DBVPG1708	BNL
DBVPG1861	BPK
DBVPG1584	BKQ
DBVPG1841	BPG
DBVPG1843	BPH
DBVPG4460	BQT
CBS459	APT
DBVPG1058	BID
CBS1590	AGI
DBVPG1014	BHV
DBVPG1057	BNE
DBVPG1599	BLA
DBVPG1596	BKT
DBVPG1029	BIA
DBVPG1564	BKL
DBVPG1041	BIB
DBVPG1555	BKK
DBVPG1669	BLQ
YJM1336	SACE_YBY
YJM1526	SACE_YDF
YJM1129	SACE_YDO
CBS1586	AHG
C6.1	AII
CBS1192	AHD
CBS1479	AGF
CBS1194	AHE
CBS1175	AQQ
CBS1489	ASG
CBS4507	ASD
CBS4667	ASE
MC7	AIQ
DBVPG1625	BLG
DBVPG1629	BLI
CLIB154	ACP
DBVPG1994	BQA
21-4-125	AMA
21-4-111	ALQ
CCY_21-4-120	BBI
21-4-122	ALT
CCY_21-4-121	BBK
EXF-5287	BFB
EXF-5297	BFD
21-4-116	ALS
CCY_21-4-119	BBH
DBVPG1918	BPQ
DBVPG4186	BQN
DBVPG4036	CBI
N493-2C	CCM
EXF-3387	BEP
DBVPG4695	BRC
Lib39	CGT
21-4-99	ALL
21-4-101	ALM
CECT1478	AVH
CBS1227	AHR
YJM244	SACE_YAD
CBS1582	AGH
ZP_577	BTH
UC4	ATH
CLIB484	BFQ
SRC 147	CIA
CLIB485	BFR
SRC 213	CIB
DBVPG1978	CBG
CLIB294	ACF
YJM1356	SACE_YCD
CBS423	APS
CBS1257	ARC
EXF-5042	BER
EXF-5046	BES
CBS1602	ARK
PR	ATA
CBS2271	ARQ
YJM1242	SACE_YBN
CBS1250	APV
UCD_40-49	CFV
YJM1477	SACE_YDC
L1528	SACE_GAP
CBS2966a	AAI
CBS2965	ARV
CLIB1040	BHC
CLIB1062	BHF
DBVPG1601	BLB
DBVPG1898	BPP
L-475	BTN
L-304	BTL
L-319	CRH
YJM189	SACE_YAA
L-1183	BSP
CBS1460	AHT
Y4	ATN
YJM1244	SACE_YBO
DBVPG1701	BNK
DBVPG1725	BNR
DBVPG3100	BQH
EXF-4126	BEQ
C15.1	AIK
